CDM project reference number,Unique project identifier (traceable with Google),Registration project title,Type of CDM project: PA/PoA,Project classification,Sectoral scope number(s),Methodologies used at registration,Project type (UNEP DTU),Project subtype (UNEP DTU),DOE,Start of validation,PA:Initial registration request/PoA:First CPA request,PA:Lastest registration request/PoA:Lastest CPA request,"Date of EB decision (see EB59 Annex 12, §25)",Registered or rejected,Simplified project status,Website project status,Type of crediting period,Start of first crediting period,End of first crediting period, Amount Of Reductions (PDD ex-ante) per year in CP1 (PoA based on the sum of curr ,Status of the second CP request,Second crediting period: renew date,Second crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP2 ,Start of Second crediting period,End of second crediting period,Status of the third CP request,Third crediting period: renew date,Third crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP3 ,Start of third crediting period,End of third crediting period,List of host countries (ISO 2),UNFCCC region,LDC country,Country Region,SID country,Country subregion,First issuance,Lastest issuance, Total CERs issued , Count of issuances of CER , Count of issuances of CER for KP1 , Total CERs issued for KP1 , Count of issuances of CER for KP2 , Total CERs issued for KP2 , Installed capacity (MW elec/thermal) ,Kind of additional revenue, Total capital investment (USD) , Total O&M costs (USD/year) , Additional revenue (USD) , Estimated IRR benchmark , Estimated IRR excluding CERs , Estimated IRR including CERs ,Issuance (Para 218)/ Registration (Para 219),Last information provided on para. 218 and 219 of the PCP,Date of last information provided on Para. 218 and 219 of the PCP,Number of CPAs per host party (PoA),Amount of reduction per host party (PoA),Crediting type of the CPAs,Chronological number of registered CDM activity by country,Last communication with the Secretariat,Projects which cannot be renewed,Reporting date
8399,XEK24H3LRBU4T2XUT0Z79NHH9CI173,"Grid connected renewable power generation at Tamil Nadu, India",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,RWTÜV GmbH,30-08-11,26-11-12,26-11-12,25-01-13,26-11-12,End of crediting period,Registered,Fixed,01-12-12,30-11-22,"8,056",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,4.2,None,"5,350,687",,,17.9,14.86,,,,,,,,IN(1134),2012m11,No,10-Oct-24
8401,A16I9RV4AWGEBFGYA9K3J9IK2NHXQW,"Wind Power Project at Tamil Nadu, India by Nippo",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,RWTÜV GmbH,10-01-11,30-11-12,30-11-12,31-01-13,30-11-12,End of crediting period,Registered,Renewable,05-12-12,04-12-19,"3,372",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,1.5,None,"2,229,453",,,15.79,7.65,16.09,,,,,,,IN(1147),2012m11,Yes,10-Oct-24
8403,6NMP0JUCMG5FJO2PXYQR51X45MEH23,"Bundled Wind Power Project at Tamil Nadu & Karnataka, India",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,05-10-10,26-11-12,26-11-12,22-01-13,26-11-12,End of crediting period,Registered,Fixed,30-11-12,29-10-22,"11,357",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,6,None,,,,,,,,,,,,,IN(1130),2012m11,No,10-Oct-24
8407,ILJGRT2EI1M8WEQQC2LAMXCWUZ61S7,Generation of electricity from 3.0MW capacity wind turbines by Avon Cycles Limited,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,SGS United Kingdom Limited (SGS),02-09-11,26-11-12,26-11-12,21-01-13,26-11-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"5,145",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,09-02-23,09-02-23,"31,405",1,, -   ,1,"31,405",3,None,,,,16.57,6.57,,,,,,,,IN(1132),2023m2,No,10-Oct-24
8408,PB4ENCGZO09BZTGT34JFRZ0BKNGS2F,"Bundled Wind Energy Project at Tamil Nadu, India by EAIPL",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,16-02-12,26-11-12,26-11-12,21-01-13,26-11-12,End of crediting period,Registered,Renewable,30-11-12,29-11-19,"6,598",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,5.95,None,,,,,,,,,,,,,IN(1136),2012m11,Yes,10-Oct-24
8415,D1DHHA9K9TNFSIZVXCYH4PTQK4VJAR,Bundled Street Lighting Energy Efficiency Projects implemented by AEL in India,PA,SMALL,3,AMS-II.C. 13.0,EE service,Street lighting,TÜV Rheinland (China) Ltd. (TÜV Rheinland),05-12-09,27-11-12,27-11-12,14-02-13,28-11-12,End of crediting period,Registered,Fixed,01-12-12,30-11-22,"38,217",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1139),2020m10,No,10-Oct-24
8417,TF5VKKKPBR1289M77BRMSXDSAIBU39,"15 MW bundled grid connected wind energy project in Gujarat, India",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Perry Johnson Registrars Carbon Emissions Services (PJRCES)    ,26-01-11,28-12-12,28-12-12,14-06-13,28-12-12,End of crediting period,Registered,Renewable,01-01-13,31-12-19,"27,879",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,15,None,,,,,,,,,,,,,IN(1314),2013m1,Yes,10-Oct-24
8439,XI7QNKXN5PO920V35V69NXDJX5UHC5,Renewable Biomass based Energy Generation project in a Distillery at Uttar Pradesh,PA,SMALL,1,AMS-I.C. 19.0,Biomass Energy,Agricultural residues: rice husk,RINA Services S.p.A. (RINA),09-07-09,28-11-12,28-11-12,14-02-13,28-11-12,End of crediting period,Registered,Fixed,01-12-12,30-11-22,"6,405",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1140),2012m11,No,10-Oct-24
8442,V3VLCQGE9AP9TX41VS9FJI8UKLMBOA,"Tata Power - Wind power project at Samana in Jamnagar district, Gujarat",PA,LARGE,1,ACM0002 13.0.0,Wind,Wind,RWTÜV GmbH,22-06-10,29-11-12,29-11-12,14-02-13,06-12-12,End of crediting period,Registered,Fixed,06-12-12,05-12-22,"96,821",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,13-08-14,01-09-22,"573,022",5,1,"5,249",5,"567,773",50.4,None,"61,193,060",,,13,11.91,,,,,,,,IN(1163),2022m9,No,10-Oct-24
8445,P5582BCI53FW8Q5UGWGFDEOC4QJVJE,"Biomass based thermal energy generation at Swastik Refinery, West Bengal, India",PA,SMALL,1,AMS-I.C. 19.0,Biomass Energy,Agricultural residues: rice husk,RWTÜV GmbH,01-07-10,29-11-12,29-11-12,02-05-13,24-12-12,End of crediting period,Registered,Fixed,24-12-12,23-12-22,"22,051",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1263),2021m11,No,10-Oct-24
8447,2XMH3SI7T7CVN8H817R7VQLYUXZM7O,CIL SOLAR CDM Project,PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,RWTÜV GmbH,26-11-11,29-11-12,29-11-12,18-02-13,29-11-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"2,978",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,2,None,"6,989,636",,,,,,,,,,,,IN(1141),2012m11,No,10-Oct-24
8448,M147P5S1RPXWUE0ZYBTRGXLJ7G7R29,Solar Power project at Patan District in Gujarat,PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,RWTÜV GmbH,20-12-12,11-03-13,11-03-13,04-10-13,11-03-13,End of crediting period,Registered,Renewable,31-03-13,30-03-20,"7,586",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,5,None,,,,,,,,,,,,,IN(1433),2013m3,Yes,10-Oct-24
8459,JZXR24BQ22L7LIDW06DVTT2O4KOLR7,Grid connected bundled wind power project in Maharashtra aggregated by Resurge Energy Private Limited,PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,Perry Johnson Registrars Carbon Emissions Services (PJRCES)    ,14-01-09,07-12-12,07-12-12,25-02-13,19-12-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"38,639",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,21.05,None,,,,,,,,,,,,,IN(1223),2012m12,No,10-Oct-24
8464,I00NIKUBRWBRLYCOB3N2AXLWL59G2Z,"Solar Photovoltaic Power Project at Jalgaon, Maharashtra",PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,RWTÜV GmbH,11-01-12,29-11-12,29-11-12,18-02-13,29-11-12,End of crediting period,Registered,Renewable,15-12-12,14-12-19,"13,243",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,20-05-16,24-07-23,"82,768",2,1,585,2,"82,183",8.5,None,,,,,,,,,,,,,IN(1143),2023m7,Yes,10-Oct-24
8478,IFE5ZPD8KV19BP2CTQRZ1FGUNOAGER,2.1 MW Wind Power Project in Rajasthan,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,RWTÜV GmbH,29-01-11,03-12-12,03-12-12,22-01-13,03-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"3,313",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,2.1,None,,,,11.5,9.58,,,,,,,,IN(1149),2012m12,No,10-Oct-24
8489,LSKAFN40P852EFWKG0VZ5DJF48PHDF,WAMS Wind Project,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Det Norske Veritas- CUK,15-09-10,30-11-12,30-11-12,18-02-13,05-12-12,End of crediting period,Registered,Renewable,15-12-12,14-12-19,"26,390",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,14.75,None,,,,,,,,,,,,,IN(1156),2012m12,Yes,10-Oct-24
8495,FKR43WT0H7Y09PIPKBNVGEA6QX28VA,Lalpur wind farm in Gujarat,PA,LARGE,1,ACM0002 13.0.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,31-07-12,30-11-12,30-11-12,13-02-13,05-12-12,End of crediting period,Registered,Fixed,05-12-12,04-12-22,"99,859",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,17-04-15,24-08-17,"348,669",2,1,"6,716",2,"341,953",50.4,None,,,,17.07,8.41,,,,,,,,IN(1157),2023m7,No,10-Oct-24
8496,91C9QLLIEGCM0DF5TKTTRN08RLGPJF,15 MW Solar Power Project in Gujarat,PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,TÜV Rheinland (China) Ltd. (TÜV Rheinland),22-06-12,01-12-12,01-12-12,21-01-13,05-12-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"22,057",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,15,None,,,,,,,,,,,,,IN(1160),2012m12,No,10-Oct-24
8522,EQVKUI4U1MPWDHGGTRDGT9UH5DUB1Y,Distribution of Improved cook stove - Phase II,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,14-03-12,03-12-12,03-12-12,25-02-13,03-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"12,644",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1152),2012m12,No,10-Oct-24
8524,RPEFAKF9LIL2GUPF15O45ETZ8PC2A3,"Wind based power generation by Panama Wind Energy Private Limited in Maharashtra, India",PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,30-07-11,03-12-12,03-12-12,12-02-13,05-12-12,End of crediting period,Registered,Fixed,05-12-12,04-12-22,"186,270",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,04-12-15,21-10-16,"289,816",2,1,"5,705",2,"284,111",100.8,None,,,,13.5,9.4,,,,,,,,IN(1158),2016m10,No,10-Oct-24
8528,0FZ0BBTUR37DBPMKTMA2HOQ3D9IK1M,"Solar Photovoltaic based Power Plant, India 2",PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,RWTÜV GmbH,03-04-12,03-12-12,03-12-12,21-01-13,14-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"17,219",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,10,None,,,,,,,,,,,,,IN(1195),2012m12,No,10-Oct-24
8531,P4AU6ORXFRK1MPB8Y6B9QOH7L7S7WI,Renewable wind energy project by Frost International Limited,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),25-02-12,03-12-12,03-12-12,24-05-13,03-12-12,End of crediting period,Registered,Fixed,03-12-12,02-12-22,"7,753",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,4.25,None,"7,000,723",,,12.16,8.1,12.18,,,,,,,IN(1153),2013m2,No,10-Oct-24
8543,QHADLBX1QD6USFZOO6VKSSYQJUPK5K,Bundled project activity in the state of Tamil Nadu by GRT group,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Det Norske Veritas- CUK,07-02-12,05-12-12,05-12-12,25-02-13,10-12-12,End of crediting period,Registered,Renewable,20-12-12,19-12-19,"27,600",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,13.75,None,,,,,,,,,,,,,IN(1173),2012m12,Yes,10-Oct-24
8546,HT03E71PBQGWQYJKGJKLK9VETF6TMQ,"Thermal Energy Generation using Biomass Briquette at M/s. Garware Polyester Limited, Waluj, Aurangabad, India",PA,SMALL,1,AMS-I.C. 19.0,Biomass Energy,Biomass briquettes or pellets,Bureau Veritas Certification Holding SAS (BVCH),02-02-11,04-12-12,31-01-13,24-09-13,31-01-13,End of crediting period,Registered,Fixed,31-01-13,30-01-23,"17,686",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,"751,988",,,,,,,,,,,,IN(1424),2013m1,No,10-Oct-24
8551,FPVEVTB2Z4IIYRGKZ6CV0PQJN1QO62,Wind power project in Maharashtra by TVS Energy Limited,PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,Det Norske Veritas- CUK,05-04-12,04-12-12,04-12-12,18-02-13,05-12-12,Registered with issuances,Registered,Renewable,20-12-12,19-12-19,"48,590",Renewed,23-02-21,23-02-21,"48,034.00",20-12-19,19-12-26,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,23-11-23,23-11-23,"373,988",1,1,"1,756",1,"372,232",25.5,None,"39,527,596",,,13.06,10.23,,,,,,,,IN(1155),2023m11,No,10-Oct-24
8553,NQ00FONC71GW6LJ9PY2JPEFAU2TQBW,Renewable Energy Bundled Wind Project in India,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,SGS United Kingdom Limited (SGS),19-10-11,04-12-12,04-12-12,05-02-13,04-12-12,End of crediting period,Registered,Fixed,04-12-12,03-12-22,"13,858",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,8.1,None,,,,,,,,,,,,,IN(1154),2021m12,No,10-Oct-24
8556,C1PVRCKI3CTLQO0AITZ4G98PLSRN0B,111 MW Sawra Kuddu Hydro Electric Power Project in Himachal Pradesh,PA,LARGE,1,ACM0002 13.0.0,Hydro,Run of river,RWTÜV GmbH,11-12-08,04-12-12,04-12-12,28-02-13,21-12-12,End of crediting period,Registered,Fixed,01-04-13,31-03-23,"262,691",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,111,None,"156,182,208",,,10.75,7.76,9.66,,,,,,,IN(1248),2012m12,No,10-Oct-24
8569,76RY0HEUV3U5S3RBRL3FVGQ3S1HRQ7,"Wind power project in Rajasthan, India",PA,LARGE,1,ACM0002 13.0.0,Wind,Wind,RINA Services S.p.A. (RINA),23-05-12,05-12-12,05-12-12,20-02-13,10-12-12,End of crediting period,Registered,Fixed,10-12-12,09-12-22,"47,732",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,09-10-15,25-07-19,"227,723",2,1,"2,795",2,"224,928",26.4,None,,,,16,7.14,,,,,,,,IN(1172),2023m7,No,10-Oct-24
8572,DU5K716SQ0NU9PBNRTT265L8BSUVU9,"6 MW Wind Power Project (WPP) at Davangere, Karnataka, India.",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,11-02-11,05-12-12,05-12-12,05-02-13,05-12-12,End of crediting period,Registered,Fixed,10-12-12,09-12-22,"13,089",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,28-08-23,28-08-23,"85,074",1,1,636,1,"84,438",6,None,"8,550,012",,,18.09,11.67,,,,,,,,IN(1159),2023m8,No,10-Oct-24
8589,5B5VIZQ3IKY43C096QN8YUPZCTLP88,"6.5 MW Bundled Small Hydro Electric Project in Maharashtra State, India",PA,SMALL,1,AMS-I.D. 17.0,Hydro,Existing dam,Det Norske Veritas- CUK,23-12-09,07-12-12,07-12-12,14-02-13,07-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"14,559",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,17-10-22,17-10-22,"119,031",1,1,689,1,"118,342",6.5,None,"5,979,489",,,15.23,5.82,,,,,,,,IN(1167),2022m10,No,10-Oct-24
8591,71IYU4T80UMYUCMEOX5YFKSMWJ01YD,Wind power project in Rajasthan,PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,Det Norske Veritas- CUK,01-03-12,06-12-12,06-12-12,21-02-13,13-12-12,End of crediting period,Registered,Fixed,31-12-12,30-12-22,"70,677",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,15-10-18,15-10-18,"70,648",1,1,183,1,"70,465",42,None,,,,17.45,7.79,10.84,,,,,,,IN(1183),2019m3,No,10-Oct-24
8592,22TBTNOHAI2IBCIJT9ZZ2NPZLI95V6,"35.10 MW Wind Energy Project by Ruchi Soya Industries Limited, India",PA,LARGE,1,ACM0002 13.0.0,Wind,Wind,RWTÜV GmbH,11-03-11,07-12-12,07-12-12,26-02-13,13-12-12,End of crediting period,Registered,Fixed,13-12-12,12-12-22,"68,606",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,35.1,None,"54,707,160",,,11,8.37,11.66,,,,,,,IN(1181),2015m10,No,10-Oct-24
8595,U7R8WCPM2KAW1M4W6QKO11UF1062KK,Deepak WNA 5 N2O Abatement Project,PA,LARGE,5,ACM0019 1.0.0,N2O,Nitric acid,RWTÜV GmbH,15-12-11,06-12-12,06-12-12,19-02-13,10-12-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"127,272",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1169),2012m12,No,10-Oct-24
8596,GPLYHZPM2DERBYBYKEVEB81FUBKVSV,Grid Connected Wind Power Generation by Devendran Coal International Private Limited.,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,02-11-11,06-12-12,06-12-12,05-02-13,06-12-12,End of crediting period,Registered,Fixed,07-12-12,06-12-22,"6,316",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,2.95,None,,,,15.42,6.28,17.16,,,,,,,IN(1164),2012m12,No,10-Oct-24
8597,UTZBSLBUWHF0USKWI328LXFWBT3A4W,2 MWp grid connected bundled solar power project in Orissa,PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,RWTÜV GmbH,16-02-12,07-12-12,07-12-12,28-01-13,07-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"3,088",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,2,None,,,,,,,,,,,,,IN(1168),2012m12,No,10-Oct-24
8606,JOT0KVA3WYDXMPY3QQ9HA4NUS8AK95,"Wind Power Project at Vaspet, Maharashtra",PA,LARGE,1,ACM0002 13.0.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),26-05-12,06-12-12,06-12-12,27-02-13,13-12-12,Registered with issuances,Registered,Renewable,15-12-12,14-12-19,"96,042",Renewed,11-03-20,11-03-20,"94,425.00",15-12-19,14-12-26,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,17-06-14,27-05-22,"667,593",4,1,"3,550",4,"664,043",45,None,,,,17.75,12.4,,,,,,,,IN(1188),2022m5,No,10-Oct-24
8608,FQGTZCHKP7XZ7HOJG2OW8ALEU8QVBZ,Solar PV Power Plants by PESPL and SEPL,PA,LARGE,1,ACM0002 13.0.0,Solar,Solar PV,Bureau Veritas Certification Holding SAS (BVCH),10-08-11,06-12-12,06-12-12,10-09-13,29-01-13,End of crediting period,Registered,Renewable,29-01-13,28-01-20,"48,048",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,30,None,"119,305,856",,,,9.4,,,,,,,,IN(1410),2013m2,Yes,10-Oct-24
8612,O07TXOZUAM68219XI2ZHTQM8JYUHEQ,Micro scale Improved Cook stove Project of Bagepalli Coolie Sangha,PA,SMALL,3,AMS-II.G. 4.0,EE households,Stoves,TÜV Rheinland (China) Ltd. (TÜV Rheinland),26-05-12,10-12-12,10-12-12,25-02-13,13-12-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"15,165",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1186),2012m12,No,10-Oct-24
8641,GBU8TRY12JWQL188147UDJLXNTO1EF,Energy efficiency programme in electricity distribution network in Chittoor and Madanapalle operational division of Andhra Pradesh,PA,SMALL,2,AMS-II.A. 10.0,Energy distribution,Efficient electricity distribution,Det Norske Veritas- CUK,01-04-10,11-12-12,11-12-12,02-04-13,21-12-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"30,930",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,11.5,4.69,,,,,,,,IN(1241),2012m12,No,10-Oct-24
8654,KAYS056LX55GC5WWVML5H68AS684UV,Distribution of Improved cook stove - Phase III,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,16-03-12,10-12-12,10-12-12,25-02-13,10-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"13,125",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1170),2012m12,No,10-Oct-24
8666,TKAN4AGGMD9LW51BLQV4IFV5SNW3NK,"Biomass based heat and power generation plant, Sonepat",PA,SMALL,1,AMS-I.C. 19.0,Biomass Energy,Agricultural residues: rice husk,RWTÜV GmbH,05-10-10,11-12-12,11-12-12,03-06-13,11-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"11,119",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,1.95,None,"2,362,015",,,,,,,,,,,,IN(1174),2013m2,No,10-Oct-24
8667,XZ4LOEWM60AI3DE24IULF7XD7RSXUC,Energy efficiency programme in electricity distribution network in Tirupati and Puttur operational division of Andhra Pradesh,PA,SMALL,2,AMS-II.A. 10.0,Energy distribution,Efficient electricity distribution,Det Norske Veritas- CUK,31-03-10,11-12-12,11-12-12,02-04-13,21-12-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"29,107",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,11.5,6.45,,,,,,,,IN(1237),2012m12,No,10-Oct-24
8669,PM4O34B72YC47MY2X7BKWDTH032BTJ,Micro Scale Biogas CDM Project of SACRED,PA,SMALL,1,AMS-I.E. 4.0,Methane avoidance,Domestic manure,TÜV Rheinland (China) Ltd. (TÜV Rheinland),19-04-12,11-12-12,11-12-12,01-03-13,18-12-12,End of crediting period,Registered,Renewable,01-01-14,31-12-20,"16,360",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1219),2012m12,Yes,10-Oct-24
8671,PZ1DZNLS8HCFEUB6V9V9121U0FXULT,15 MW Solar Photovoltaic Power Project at Gujarat,PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,Bureau Veritas Certification Holding SAS (BVCH),23-12-11,11-12-12,11-12-12,31-05-13,27-12-12,Registered with issuances,Registered,Renewable,27-12-12,26-12-19,"24,520",Renewed,01-10-20,01-10-20,"24,344.00",27-12-19,26-12-26,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,05-10-17,07-07-21,"159,358",2,1,309,2,"159,049",15,None,,,,,,,,,,,,,IN(1288),2021m7,No,10-Oct-24
8672,1OIYOW7HMO4LFBYY9MYCH2OK9GM2DU,Green Energy Project at Gujarat by Powerica Limited,PA,LARGE,1,ACM0002 13.0.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,07-03-12,11-12-12,31-01-13,27-09-13,31-01-13,End of crediting period,Registered,Fixed,31-01-14,30-01-24,"61,360",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,25.2,None,"45,215,716",,,,11.5,,,,,,,,IN(1420),2023m5,No,10-Oct-24
8680,X09G4MW5N3Z2MOU81E3LOU6W7HYYYV,Bundle Wind Power Project- EnKing International (EKIESL.CDM-Aug.11-03),PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Perry Johnson Registrars Carbon Emissions Services (PJRCES)    ,21-02-12,12-12-12,12-12-12,11-02-13,12-12-12,End of crediting period,Registered,Renewable,01-01-13,31-12-19,"4,184",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,3.2,None,"4,627,139",,,,,,,,,,,,IN(1178),2015m11,Yes,10-Oct-24
