ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Total_Actual_VCUs_Issued,Actual_Issuance_Start_Date,Actual_Issuance_End_Date,t_actual_days,t_actual_years,Total_Estimated_ERs_Actual_Period,q_quotient,log_q_success_indicator,Regime,Technology_Category,Tech_Biomass and Waste,Tech_Energy Efficiency,Tech_Other Renewable,Scale_Category,Scale_Large,Is_International
701,Wind power project at Gujarat by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,29443,Asia,06-04-20,,,244452,04-01-10,31-12-22,4744,12.98836413,382416.4052,0.639229899,-0.44749111,VCS,Other Renewable,False,False,True,Small Scale,0,0
1857,Grouped OFF-GRID Renewable Energy Project in India,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,38366,Asia,01-04-19,01-04-17,31-03-27,12500,04-01-17,31-08-21,1700,4.654346338,178568.6516,0.070001089,-2.659244486,VCS,Other Renewable,False,False,True,Small Scale,0,0
1856,Bundled Wind Power Project by Sembcorp Green Infra Limited in India,Green Infra Wind Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,191006,Asia,08-05-19,02-03-17,01-03-27,1185831,03-02-17,30-04-24,2643,7.23613963,1382146.086,0.857963577,-0.153193632,VCS,Other,False,False,False,Large Scale,1,0
1854,20 MWAC (22 MWDC) SKCIL SOLAR POWER PLANT PROJECT,Shri Keshav Cements & Infra Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,33707,Asia,23-04-20,01-04-18,31-03-28,152551,04-01-18,30-09-22,1730,4.736481862,159652.5941,0.955518455,-0.045501201,VCS,Other,False,False,False,Large Scale,1,0
1853,9.9 MW Wind Power Project by KPL International Ltd. in Gujarat,KPL International Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,24232,Asia,17-01-19,28-02-17,27-02-27,119563,01-01-18,31-01-22,1491,4.082135524,98918.30801,1.208704459,0.189549091,VCS,Other Renewable,False,False,True,Small Scale,0,0
1842,100 MW SOLAR PROJECT IN BHADLA IN RAJASTHAN.,Clean Sustainable Energy Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,176539,Asia,03-01-19,16-09-18,15-09-28,618866,11-01-18,31-08-21,1328,3.635865845,641872.1205,0.964157782,-0.036500323,VCS,Other,False,False,False,Large Scale,1,0
1844,80 MW SOLAR BY FERMI SOLAR FARMS PVT LTD - CHALISGAON.,Fermi Solar Farms Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,206705,Asia,31-12-18,14-04-18,13-04-28,474139,11-01-18,31-08-21,1328,3.635865845,751551.6496,0.630880127,-0.460639408,VCS,Other,False,False,False,Large Scale,1,0
1831,"Wind Energy Project at Devbhoomi Dwaraka,Gujarat by Powerica Limited",POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,42210,Asia,21-03-19,,,339471,01-01-16,31-12-22,2556,6.997946612,295383.3265,1.149255796,0.139114599,VCS,Other,False,False,False,Large Scale,1,0
1197,Chakala Wind Power Project in Maharashtra,M/s Bindu Vayu Urja Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,74307,Asia,17-07-14,,,586701,01-01-14,29-12-21,2919,7.991786448,593845.6756,0.987968801,-0.01210416,VCS,Other,False,False,False,Large Scale,1,0
1830,Wind Power Project at Theni by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,21864,Asia,28-11-18,,,172406,01-01-11,30-06-23,4563,12.49281314,273142.8665,0.631193493,-0.460142819,VCS,Other Renewable,False,False,True,Small Scale,0,0
1822,10 MW wind power project by Powerica at BDS - Gujarat,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,24816,Asia,17-10-19,04-02-17,03-02-27,171054,02-04-17,31-12-22,2099,5.746748802,142611.3183,1.199441966,0.181856421,VCS,Other Renewable,False,False,True,Small Scale,0,0
1823,"21.8 MW Wind Power Project at Jangi Vandhiya, Gujarat by Powerica Limited",POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,50207,Asia,21-11-18,,,376387,06-12-14,31-12-22,2947,8.06844627,405092.4819,0.929138448,-0.073497522,VCS,Other,False,False,False,Large Scale,1,0
1815,Renewable Solar Power Project by Adani Green Energy Limited,Adani Green Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,1553021,Asia,17-10-19,28-09-17,27-09-27,5343328,01-01-18,31-12-20,1095,2.997946612,4655874.045,1.14765304,0.137719022,VCS,Other,False,False,False,Large Scale,1,0
1816,Wind power project in Tirunelveli Tamilnadu,Vaayu Renewable Energy (Tapti) Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,16347,Asia,17-04-20,02-12-17,01-12-27,34262,09-02-18,07-07-21,1244,3.405886379,55676.02464,0.61538158,-0.485512749,VCS,Other Renewable,False,False,True,Small Scale,0,0
1807,"Biomass based thermal energy generation project by Dynamic Fine Paper Mill at Polai Kalan, Deegod, Kota",Dynamic Fine Paper Mill Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,43938,Asia,15-10-18,21-11-16,20-11-26,75373,01-01-17,31-12-21,1825,4.996577687,219539.6304,0.343322979,-1.069083644,VCS,Other Renewable,False,False,True,Small Scale,0,0
1805,Solar Energy Project(s) by SB Energy Private Limited,Adani Renewable Energy Devco Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,4354646,Asia,24-09-18,27-02-17,26-02-27,9446114,01-01-18,31-08-23,2068,5.661875428,24655463.18,0.383124581,-0.959395066,VCS,Other,False,False,False,Large Scale,1,0
